日付,体重(kg),尿量(ml),トイレ回数,排便,尿量/体重(ml/kg)
2024-12-12,4.2,150,5,yes,35.71
2024-12-12,4.2,150,5,yes,35.71
2024-12-12,4.2,150,5,yes,35.71
2024-12-12,4.2,150,5,yes,35.71
2024-12-12,4.2,150,5,yes,35.71
2024-12-13,4.1,175,7,yes,42.68
2024-12-13,4.2,160,6,no,38.10
2024-12-12,4.1,180,7,yes,43.90
2024-12-13,4.2,150,7,yes,35.71

2024-12-01,4.1,175,8,yes,42.68
2024-12-02,4.2,160,7,yes,38.10
2024-12-03,4.2,170,7,no,40.48
2024-12-05,4.1,175,8,yes,42.68
2024-12-06,4.2,160,6,yes,38.10
2024-12-08,4.2,178,7,yes,42.38
2024-12-11,4.2,170,8,yes,40.48
2024-12-05,4.2,180,6,yes,42.86
2024-12-09,4.1,180,7,yes,43.90
2024-12-04,4.2,170,7,yes,40.48
